Type;value
NET törvényerejû rendelete;7
minisztertanácsi rendelet;9,2
miniszteri rendelet;74,6
országgyûlési határozat;0,2
minisztertanácsi határozat;8,3
kormánybiztosi rendelet;0,2
OT rendelet;0,4
